,Municipality,split,regularization,RMSE,R2
131,Aabenraa,80/20,lasso,385.8563175879266,0.9104549039207316
33,Aabenraa,80/20,ridge,389.538012142165,0.9087379408585154
229,Aabenraa,8020,elastic,385.8563175879266,0.9104549039207316
327,Aabenraa,Temporal,elastic,2633.968810500241,-7.611227504205766
425,Aabenraa,Temporal,lasso,1825.5777115188748,-3.1366088494112825
523,Aabenraa,Temporal,ridge,2839.3073018600794,-9.006186788422326
99,Aalborg,80/20,lasso,943.7824696742052,0.9384443410757446
1,Aalborg,80/20,ridge,981.2969343730692,0.9334535249059512
197,Aalborg,8020,elastic,961.1344756112438,0.936160058091046
295,Aalborg,Temporal,elastic,1595.8263139746243,0.553580451302499
393,Aalborg,Temporal,lasso,1595.8263139746243,0.553580451302499
491,Aalborg,Temporal,ridge,1890.6872129177575,0.3733697819072413
114,Aarhus,80/20,lasso,1643.4361578464766,0.9496603111149252
16,Aarhus,80/20,ridge,1620.0530152846452,0.9510826068416568
212,Aarhus,8020,elastic,1643.4361578464766,0.9496603111149252
310,Aarhus,Temporal,elastic,3067.6733597480297,0.5353555628616244
408,Aarhus,Temporal,lasso,3231.229545977661,0.4844887647113944
506,Aarhus,Temporal,ridge,3231.1955442198714,0.4844996139535712
186,Albertslund,80/20,lasso,1274.471160114393,0.9409140497284004
88,Albertslund,80/20,ridge,1294.8427740158438,0.9390100503217532
284,Albertslund,8020,elastic,1283.1378470830912,0.940107722244056
382,Albertslund,Temporal,elastic,1977.18826424609,-0.1309913086556935
480,Albertslund,Temporal,lasso,3370.2301272675863,-2.286111782304349
578,Albertslund,Temporal,ridge,1889.0277449710968,-0.0323807375872244
177,Allerød,80/20,lasso,1062.5785434458264,0.9674219167927895
79,Allerød,80/20,ridge,1246.0653533873312,0.955199270514258
275,Allerød,8020,elastic,1052.7028886952328,0.9680246671829154
373,Allerød,Temporal,elastic,2761.9193418453465,-0.1727686670429566
471,Allerød,Temporal,lasso,2771.5524511370736,-0.1809637727443711
569,Allerød,Temporal,ridge,3128.996282216237,-0.5052216828838487
148,Assens,80/20,lasso,1050.808879668289,0.3806743484348515
50,Assens,80/20,ridge,1248.0676347866745,0.1263291568800193
246,Assens,8020,elastic,1050.808879668289,0.3806743484348515
344,Assens,Temporal,elastic,1737.147017964234,-1.476790538565078
442,Assens,Temporal,lasso,1498.2379982108496,-0.8423737810846046
540,Assens,Temporal,ridge,1258.7357122093215,-0.3004247832252469
193,Ballerup,80/20,lasso,1301.693534418712,0.954362217427499
95,Ballerup,80/20,ridge,1221.814357838215,0.9597915355133392
291,Ballerup,8020,elastic,1290.1780407724118,0.9551661193707364
389,Ballerup,Temporal,elastic,5317.801476227436,-3.48031158592193
487,Ballerup,Temporal,lasso,4833.264102821407,-2.7010506746382847
585,Ballerup,Temporal,ridge,6284.190984191162,-5.256662496362561
138,Billund,80/20,lasso,750.0275511473346,0.8248105793962333
40,Billund,80/20,ridge,737.3326368118823,0.8306908778585015
236,Billund,8020,elastic,749.3543475778322,0.8251249284201703
334,Billund,Temporal,elastic,1787.0449671389854,-0.5214383999463401
432,Billund,Temporal,lasso,1901.595244581232,-0.7227393634820105
530,Billund,Temporal,ridge,1369.5303739359929,0.1064337664196219
150,Bornholm,80/20,lasso,828.3820428737608,0.6566113143449972
52,Bornholm,80/20,ridge,799.3971220613106,0.6802211102624331
248,Bornholm,8020,elastic,826.3999613029486,0.6582526104630284
346,Bornholm,Temporal,elastic,2289.2947530827287,-2.041578135441196
444,Bornholm,Temporal,lasso,2289.2947530827287,-2.041578135441196
542,Bornholm,Temporal,ridge,2800.920580375161,-3.55299466148814
192,Brøndby,80/20,lasso,1783.5196818540985,0.889651068556589
94,Brøndby,80/20,ridge,1615.7445195815997,0.9094355607424196
290,Brøndby,8020,elastic,1488.1338829049969,0.9231761036899448
388,Brøndby,Temporal,elastic,3739.449421351267,-1.2389908516874697
486,Brøndby,Temporal,lasso,3687.5705754638057,-1.1772969990929925
584,Brøndby,Temporal,ridge,3677.696154223952,-1.1656520626764353
106,Brønderslev,80/20,lasso,785.0231645743692,0.658975982689064
8,Brønderslev,80/20,ridge,747.1640017518191,0.6910758212617785
204,Brønderslev,8020,elastic,730.0093949474891,0.7050985414320717
302,Brønderslev,Temporal,elastic,2202.9171145773244,-8.430265522680646
400,Brønderslev,Temporal,lasso,2202.9171145773244,-8.430265522680646
498,Brønderslev,Temporal,ridge,2206.7863515715017,-8.46342153745949
191,Dragør,80/20,lasso,1514.6513728236337,0.9662034457490069
93,Dragør,80/20,ridge,1695.8914881526944,0.9576314911895568
289,Dragør,8020,elastic,1718.84135397878,0.9564770177640144
387,Dragør,Temporal,elastic,6685.291429355577,-2.2142493223319204
485,Dragør,Temporal,lasso,6685.291429355577,-2.2142493223319204
583,Dragør,Temporal,ridge,2269.950845546871,0.629428701982292
171,Egedal,80/20,lasso,1132.926929357252,0.9531867557328688
73,Egedal,80/20,ridge,1052.3109403333228,0.959611929009602
269,Egedal,8020,elastic,1102.7138142026854,0.9556503118622596
367,Egedal,Temporal,elastic,5686.73985566534,-4.595979812256897
465,Egedal,Temporal,lasso,5683.312393361071,-4.589236324654372
563,Egedal,Temporal,ridge,5689.609523419204,-4.60162897329035
135,Esbjerg,80/20,lasso,800.811753780571,0.9254624286278774
37,Esbjerg,80/20,ridge,826.5862978641818,0.9205871533331438
233,Esbjerg,8020,elastic,812.5244275907515,0.9232661103144252
331,Esbjerg,Temporal,elastic,1061.943645795711,0.6610597789720505
429,Esbjerg,Temporal,lasso,1134.6500327188692,0.6130596438639303
527,Esbjerg,Temporal,ridge,1110.3853068668768,0.62943228480643
147,Faaborg-Midtfyn,80/20,lasso,667.9625603579776,0.8036728290343546
49,Faaborg-Midtfyn,80/20,ridge,710.057441949735,0.7781481093787797
245,Faaborg-Midtfyn,8020,elastic,645.1339551224779,0.8168630537368501
343,Faaborg-Midtfyn,Temporal,elastic,1487.7576768993986,-1.1642026093822446
441,Faaborg-Midtfyn,Temporal,lasso,1606.3234318612274,-1.522896914579373
539,Faaborg-Midtfyn,Temporal,ridge,1396.8058104017796,-0.9076802448604712
134,Fanø,80/20,lasso,2628.8138080383496,-0.1068120078981933
36,Fanø,80/20,ridge,2453.8998428054288,0.0355763022988536
232,Fanø,8020,elastic,2465.0986232971272,0.0267535999664717
330,Fanø,Temporal,elastic,2868.6440837837254,-0.0478151692929393
428,Fanø,Temporal,lasso,2802.8882302342336,-0.0003291050647413
